"","bio_var","Class1","Class2","Class3"
"738","OG0000888","cell wall development",NA,"lignin biosynthesis"
"739","OG0000889",NA,NA,NA
"741","OG0000891","cell wall development",NA,"cell wall expansion"
"742","OG0000893",NA,NA,NA
"744","OG0000895",NA,NA,NA
"745","OG0000896",NA,NA,NA
"746","OG0000897",NA,NA,NA
"747","OG0000898",NA,NA,NA
"748","OG0000899",NA,NA,NA
"749","OG0000900",NA,NA,NA
"750","OG0000901","cell wall development",NA,"cell wall expansion"
"751","OG0000902",NA,NA,NA
"752","OG0000903",NA,NA,NA
"753","OG0000904",NA,NA,NA
"754","OG0000905",NA,NA,NA
"755","OG0000906",NA,NA,NA
"756","OG0000907",NA,NA,NA
"757","OG0000908","cell wall development",NA,"cellulose biosynthesis"
"758","OG0000909",NA,NA,NA
"759","OG0000910",NA,NA,NA
"760","OG0000911",NA,NA,NA
"761","OG0000912",NA,NA,NA
"762","OG0000925",NA,NA,NA
"763","OG0000926",NA,NA,NA
"764","OG0000927",NA,NA,NA
"765","OG0000929",NA,NA,NA
"766","OG0000930",NA,NA,NA
"767","OG0000931","TF","RAV",NA
"769","OG0000934",NA,NA,NA
"770","OG0000935","TF","bHLH",NA
"773","OG0000939",NA,NA,NA
"774","OG0000940",NA,NA,NA
"775","OG0000941",NA,NA,NA
"777","OG0000943",NA,NA,NA
"778","OG0000944",NA,NA,NA
"779","OG0000945",NA,NA,NA
"780","OG0000947",NA,NA,NA
"781","OG0000948",NA,NA,NA
"784","OG0000951","cell wall development",NA,"lignin biosynthesis"
"785","OG0000952",NA,NA,NA
"786","OG0000953",NA,NA,NA
"787","OG0000954","TF","ERF",NA
"788","OG0000955",NA,NA,NA
"790","OG0000957",NA,NA,NA
"792","OG0000961",NA,NA,NA
"794","OG0000964","photosynthesis","photorespiration",NA
"795","OG0000965",NA,NA,NA
"796","OG0000966",NA,NA,NA
"797","OG0000967",NA,NA,NA
"798","OG0000968",NA,NA,NA
"799","OG0000969",NA,NA,NA
"800","OG0000970",NA,NA,NA
"801","OG0000971",NA,NA,NA
"802","OG0000972",NA,NA,NA
"803","OG0000973",NA,NA,NA
"804","OG0000974",NA,NA,NA
