,C3_S1,C3_S3,C3_S5,C3_S7
OG0004273,4.99297599,4.270504618,5.635352055,8.424597629
OG0004274,18.10180966,12.38563849,11.42192161,13.1683949
OG0004275,5.079827567,4.339567998,5.078016497,8.253282137
OG0004276,15.99011773,18.56122478,8.852606611,8.273934346
OG0004281,0.250911305,1.794898339,17.52884074,25.95135429
OG0004282,51.17641952,59.61035079,38.30710721,22.4738753
OG0004284,18.62345777,14.75396485,22.6318682,25.28872725
OG0004285,13.7722871,22.06002719,28.33672075,42.54892351
OG0004286,45.829044,25.63635432,19.89461489,29.09502018
OG0004287,2.068601528,2.955742034,3.032205956,8.659623348
OG0004288,7.4463011,7.666174113,6.354226798,8.487688029
OG0004289,22.38542164,14.60232832,12.08759729,13.0219994
OG0004290,89.10189681,69.57913195,59.63087425,53.02939717
OG0004291,8.889383901,3.869578077,0.083791248,0.059174528
OG0004292,14.15378234,12.31650195,18.96142693,29.23376344
OG0004293,6.897058473,10.64340532,8.736193036,6.719534098
OG0004294,0.018400606,0.062899587,0,0.075036356
OG0004297,22.26285538,15.55630367,13.94866396,15.84498165
OG0004298,25.7830544,26.54584152,29.64772932,43.46102431
OG0004299,6.731751193,6.111124206,6.043418435,6.800646633
OG0004307,9.901853718,0.892954092,0.405051175,0.264171408
OG0004308,32.20488848,26.6083333,19.02767009,23.063709
OG0004310,13.01196008,26.60712748,37.24360792,43.79857043
OG0004311,20.14494819,39.83831032,46.55216554,49.3878289
OG0004314,16.16131763,8.316746949,7.865095693,10.59629174
OG0004316,10.59496738,10.05467802,13.92666836,16.45137409
OG0004318,612.2975266,3415.509316,4585.847637,2013.361849
OG0004319,2.465133645,7.996680561,11.10271492,4.719674879
OG0004320,23.61456558,19.27055415,25.84183052,29.78655997
OG0004321,12.21329197,7.976384091,1.825316963,0.751905075
OG0004322,4.988487934,10.39314256,19.8832395,5.273598564
OG0004324,12.90173234,11.00143859,7.52965725,7.951677375
OG0004325,9.194959345,5.76213108,3.365469331,2.195024433
OG0004327,7.910206979,23.35672609,83.0265548,112.1926541
OG0004328,18.26193434,12.30067493,10.24180849,9.823148323
OG0004329,11.49971396,7.241393408,8.388684877,9.105614666
OG0004330,2.570328473,9.288399576,15.25510147,9.989659317
OG0004331,60.28887219,77.94729432,100.9460481,126.7479619
OG0004332,13.37221593,13.86057782,14.47603722,15.48251739
OG0004333,19.36685438,3.622242701,1.580720809,0.638366753
OG0004334,26.14831285,145.3017586,298.8593158,449.6000473
OG0004337,8.00823011,5.130582748,4.706249549,3.977738478
OG0004338,38.30068964,9.204929006,4.815413296,1.578231069
OG0004339,36.48480783,28.40586418,41.44315697,28.59993562
OG0004340,33.04636068,12.68819859,8.524042653,4.087570988
OG0004343,2.916573653,8.687504117,12.726244,12.40852882
OG0004344,40.09790404,35.62928821,29.19705964,32.37653458
OG0004345,14.99165571,16.1030428,17.28244318,24.39901877
OG0004346,28.38502386,16.909182,20.30956174,24.07306374
OG0004347,109.5253454,261.8421985,254.443517,167.0041262
OG0004348,51.91147352,46.93619937,26.44320608,24.77681278
OG0004349,13.67227827,15.67619128,16.55133765,25.99559474
OG0004350,6.043117218,3.449438887,4.115587388,6.349174746
OG0004351,13.15672845,11.26755275,8.779391432,8.955954351
OG0004352,34.66909984,28.23965724,29.85924054,31.55401235
OG0004353,2.668245979,0.682845173,2.075132685,1.831138745
OG0004355,3.606888156,5.240587005,4.748188328,9.602225543
OG0004357,2.318474842,5.320929774,11.38785602,18.40196408
OG0004358,0.775732894,0.855639658,0.54445969,0.60236075
OG0004359,7.054227597,9.306239115,10.04345782,10.37016066
OG0004360,53.03480086,59.011769,76.75030888,76.51268301
OG0004361,13.57712343,18.8323671,17.16465587,17.21468838
OG0004363,48.43899397,48.97940807,57.14146117,55.09989953
OG0004365,9.039002381,6.663371894,5.496436526,6.921413083
OG0004366,0.122179317,0.071989083,0.278755802,0.302393565
OG0004369,58.87221547,73.61252954,42.19655953,24.86373559
OG0004372,24.46957898,31.05607477,45.05204553,62.08922242
OG0004373,403.1061404,336.0560736,202.0964736,180.5478561
OG0004374,1.57231461,1.503066517,5.00126691,13.64026275
OG0004375,67.28615788,10.75150326,0.808794589,0.116082015
OG0004376,35.06364212,81.9832105,86.6090806,52.58304681
OG0004377,9.146680085,14.94560243,20.51343079,18.42761255
OG0004378,3.661204598,2.190747731,2.58001751,3.94103517
OG0004380,4.817020792,7.142592359,9.458609092,14.0744856
OG0004381,21.7216822,25.21260564,27.16680326,36.42656885
OG0004382,43.84327599,29.99288712,53.35632053,86.27342062
OG0004383,23.68597913,16.36965789,27.94340725,42.39245459
OG0004388,63.53448965,35.46923447,9.374674996,1.022352681
OG0004393,9.236145169,8.171868227,8.220340457,8.086194124
OG0004394,0,0,0.010501553,1.088854047
OG0004401,91.34817192,31.41807355,24.94288935,19.45736611
OG0004402,31.84382834,45.21941288,77.42872564,128.7510325
OG0004405,4.314723134,2.473810392,2.158313107,3.589725421
OG0004406,441.2645314,547.4410862,150.4747641,22.65924069
OG0004408,26.8816761,25.09658579,22.47604574,24.20188341
OG0004410,73.53366541,110.9528373,128.4693967,128.2767138
